# 브리프 3장 엘리트 로직 3건 측정 — 커밋 0f0cb80 · 시드 20260922 · N=100/셀 · AI=balanced
상대는 실전 엘리트 노드와 같은 경로 — hook.get_enemy(difficulty='hard')로 자동 튜닝된 스탯을
(직업,레벨,몬스터)당 한 번 뽑아 모든 팔이 같은 적을 상대한다. 동료가 있는 셀은
실전과 같이 ELITE_STAT_SCALE[2]=0.90을 적용한다.

── goblin — 팔 A / B / C / D / E ──
직업     Lv 셀            | A승률  B승률  C승률  D승률  E승률 |    격노 B호령 C호령 D호령 E호령 | A턴   B턴   C턴   D턴   E턴  
마법사     3 대장+고블린       |  84.0%   84.0%   83.0%   88.0%   83.0% |  98.0%  0.22  0.39  0.30  0.36 |  10.6  10.7  10.5  11.9  10.5
마법사     3 대장+박쥐        |  95.0%   95.0%   95.0%   96.0%   95.0% |  98.0%  0.10  0.27  0.15  0.26 |   9.9   9.9  10.1  10.6  10.1
마법사     5 대장 단독        | 100.0%  100.0%  100.0%  100.0%  100.0% |  96.0%  0.00  0.00  0.00  0.00 |   3.1   3.1   3.1   3.1   3.1
마법사     5 대장+고블린       | 100.0%  100.0%  100.0%  100.0%  100.0% |  80.0%  0.00  0.05  0.00  0.05 |   6.5   6.5   6.4   6.5   6.4
마법사     5 대장+박쥐        | 100.0%  100.0%  100.0%  100.0%  100.0% |  85.0%  0.00  0.07  0.00  0.05 |   5.8   5.8   5.9   5.8   5.9
마법사     7 대장 단독        | 100.0%  100.0%  100.0%  100.0%  100.0% |  96.0%  0.00  0.00  0.00  0.00 |   3.1   3.1   3.1   3.1   3.1
마법사     7 대장+고블린       | 100.0%  100.0%  100.0%  100.0%  100.0% |  67.0%  0.00  0.01  0.00  0.01 |   5.2   5.2   5.2   5.2   5.2
마법사     7 대장+박쥐        | 100.0%  100.0%  100.0%  100.0%  100.0% |  76.0%  0.01  0.01  0.01  0.01 |   5.1   5.1   5.1   5.1   5.1
마법사     9 대장 단독        | 100.0%  100.0%  100.0%  100.0%  100.0% |  93.0%  0.00  0.00  0.00  0.00 |   2.9   2.9   2.9   2.9   2.9
마법사     9 대장+고블린       | 100.0%  100.0%  100.0%  100.0%  100.0% |  85.0%  0.00  0.02  0.00  0.02 |   4.7   4.7   4.7   4.7   4.7
마법사     9 대장+박쥐        | 100.0%  100.0%  100.0%  100.0%  100.0% |  67.0%  0.00  0.00  0.00  0.00 |   4.7   4.7   4.7   4.7   4.7

도적      3 대장 단독        |  56.0%   56.0%   56.0%   56.0%   56.0% |  99.0%  0.00  0.00  0.00  0.00 |  11.6  11.6  11.6  11.6  11.6
도적      3 대장+고블린       |   0.0%    0.0%    0.0%    0.0%    0.0% |  54.0%  0.08  1.16  0.08  0.56 |   5.6   5.6   5.5   5.8   5.5
도적      3 대장+박쥐        |   2.0%    1.0%    1.0%    9.0%    1.0% |  74.0%  0.51  1.70  0.55  1.05 |   8.3   8.2   8.2   9.2   8.2
도적      5 대장 단독        |  23.0%   23.0%   23.0%   23.0%   23.0% |  94.0%  0.00  0.00  0.00  0.00 |   8.8   8.8   8.8   8.8   8.8
도적      5 대장+고블린       |   0.0%    0.0%    0.0%    0.0%    0.0% |  20.0%  0.00  0.98  0.00  0.20 |   4.3   4.3   4.2   4.3   4.3
도적      5 대장+박쥐        |   0.0%    0.0%    0.0%    0.0%    0.0% |  45.0%  0.13  1.21  0.13  0.49 |   5.3   5.3   5.3   5.5   5.3
도적      7 대장 단독        |   1.0%    1.0%    1.0%    1.0%    1.0% |  47.0%  0.00  0.00  0.00  0.00 |  10.3  10.3  10.3  10.3  10.3
도적      7 대장+고블린       |   0.0%    0.0%    0.0%    0.0%    0.0% |   3.0%  0.00  0.92  0.00  0.03 |   4.6   4.6   4.3   4.6   4.6
도적      7 대장+박쥐        |   0.0%    0.0%    0.0%    0.0%    0.0% |   7.0%  0.00  1.25  0.00  0.07 |   6.0   6.0   6.0   6.0   6.0
도적      9 대장 단독        |  17.0%   17.0%   17.0%   17.0%   17.0% |  55.0%  0.00  0.00  0.00  0.00 |   8.0   8.0   8.0   8.0   8.0
도적      9 대장+고블린       |   0.0%    0.0%    0.0%    0.0%    0.0% |   6.0%  0.00  0.96  0.00  0.06 |   4.3   4.3   4.2   4.3   4.3
도적      9 대장+박쥐        |   0.0%    0.0%    0.0%    0.0%    0.0% |  15.0%  0.02  1.25  0.02  0.15 |   5.6   5.6   5.6   5.7   5.6

평균 승률: A  43.5% · B  43.4% · C  43.3% · D  44.2% · E  43.4%

