# 후속 ① 수지 측정 — 커밋 06482c3 · 시드 20260922 · N=200/셀 · 측정용 AI reactive
입력: 해당 직업 Lv1→목표까지 Lv_up, 선택 포인트 STG, 2택 1은 신규 쪽, 아이템 HP_M×2+MP_M.
상대는 등급 팩토리(중)·보스 팩토리 직접 생성(자동 튜닝 없음 — 같은 조건 A/B가 목적).
팔 A 게이트(reactive 판단대로) · B 미보유 · C 항상(게이트 무시) · D 2택 1의 짝으로 교체 · E 첫 기회에 1회만
E지불/E회수는 팔 E에서 실제로 시전한 전투만 모은 1회당 평균(피격 장부 via=cost / via=lifesteal). E수지 = 회수/지불.
TUNE 없음 — 저장소의 현재 수치 그대로.

═══ 피의 격노 (전사 Lv11, 짝: 방패치기) ═══
 Lv 상대        | A승률   B승률   C승률   D승률   E승률  | AHP잔   BHP잔   CHP잔   DHP잔   EHP잔  |   A사용    E지불    E회수      E수지    A턴    B턴
 25 중간 보스     | 100.0% 100.0% 100.0% 100.0% 100.0% |  84.0%  96.3%  75.7%  97.5%  75.7% |  0.70    432    171    0.40x   5.0   3.8
 25 최종 보스     |  65.0%  61.0%  39.0%  56.0%  62.0% |  35.9%  33.9%  17.0%  31.8%  36.8% |  1.03    390    550    1.41x  13.7  12.3

═══ 약점 표식 (도적 Lv11, 짝: 둔화2) ═══
 Lv 상대        | A승률   B승률   C승률   D승률   E승률  | AHP잔   BHP잔   CHP잔   DHP잔   EHP잔  |   A사용    E지불    E회수      E수지    A턴    B턴
 11 골렘상       | 100.0% 100.0% 100.0% 100.0% 100.0% |  59.8%  58.2%  60.3%  58.2%  60.4% |  1.00      0      0    0.00x   8.5   8.5
 11 암살자상      | 100.0% 100.0% 100.0% 100.0% 100.0% |  52.2%  55.2%  53.3%  55.2%  53.3% |  1.02      0      0    0.00x   5.5   4.8
 11 중간 보스     | 100.0% 100.0% 100.0% 100.0% 100.0% |  46.0%  46.0%  47.0%  46.0%  48.6% |  0.00      0      0    0.00x   9.1   9.1
 11 최종 보스     |   0.0%   0.0%   0.0%   0.0%   0.0% |   0.0%   0.0%   0.0%   0.0%   0.0% |  0.00      0      0    0.00x   7.7   7.7

 15 골렘상       | 100.0% 100.0% 100.0% 100.0% 100.0% |  62.0%  59.0%  61.2%  59.0%  61.3% |  1.00      0      0    0.00x   8.9   8.8
 15 암살자상      | 100.0% 100.0% 100.0% 100.0% 100.0% |  55.9%  53.0%  54.7%  53.0%  54.7% |  1.00      0      0    0.00x   5.2   5.4
 15 중간 보스     | 100.0% 100.0% 100.0% 100.0% 100.0% |  57.5%  55.9%  54.3%  55.9%  55.7% |  1.02      0      0    0.00x   9.0   9.0
 15 최종 보스     |   6.0%   6.0%   5.5%   6.0%   5.5% |   1.7%   1.7%   1.2%   1.7%   1.3% |  0.17      0      0    0.00x   9.6   9.6

 20 골렘상       | 100.0% 100.0% 100.0% 100.0% 100.0% |  63.1%  62.2%  63.2%  62.2%  63.2% |  1.00      0      0    0.00x   9.5   9.5
 20 암살자상      | 100.0% 100.0% 100.0% 100.0% 100.0% |  51.5%  65.8%  52.1%  65.8%  52.1% |  1.00      0      0    0.00x   5.2   4.6
 20 중간 보스     | 100.0% 100.0% 100.0% 100.0% 100.0% |  82.5%  84.0%  83.2%  84.0%  83.2% |  1.00      0      0    0.00x   6.7   6.7
 20 최종 보스     |  68.0%  66.5%  69.5%  66.5%  65.5% |  24.6%  24.3%  24.8%  24.3%  24.2% |  1.77      0      0    0.00x  16.6  16.9

 22 골렘상       | 100.0% 100.0% 100.0% 100.0% 100.0% |  65.4%  62.5%  65.6%  62.5%  65.6% |  1.00      0      0    0.00x   9.4   9.9
 22 암살자상      |  99.5% 100.0%  99.5% 100.0%  99.5% |  55.9%  65.9%  56.3%  65.9%  56.3% |  1.01      0      0    0.00x   5.2   4.6
 22 중간 보스     | 100.0% 100.0% 100.0% 100.0% 100.0% |  88.3%  90.0%  88.3%  90.0%  88.3% |  1.00      0      0    0.00x   6.0   6.0
 22 최종 보스     |  92.0%  93.0%  94.5%  93.0%  92.0% |  43.0%  43.9%  43.6%  43.9%  42.3% |  1.62      0      0    0.00x  15.3  15.1

 25 골렘상       | 100.0% 100.0% 100.0% 100.0% 100.0% |  67.8%  66.7%  69.5%  66.7%  69.5% |  1.00      0      0    0.00x  10.6  11.1
 25 암살자상      | 100.0%  99.5%  99.5%  99.5%  99.5% |  68.3%  68.3%  67.9%  68.3%  67.9% |  1.00      0      0    0.00x   5.5   5.2
 25 중간 보스     | 100.0% 100.0% 100.0% 100.0% 100.0% |  93.0%  94.0%  93.0%  94.0%  93.0% |  1.00      0      0    0.00x   5.5   5.2
 25 최종 보스     |  98.5%  99.0%  99.0%  99.0%  98.0% |  64.7%  62.6%  64.5%  62.6%  63.8% |  1.34      0      0    0.00x  12.4  12.2

